City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Butaritari,3.0707,172.7902,82.06,70,13,10.85,KI,few clouds
80,Hobart,-42.8794,147.3294,69.03,46,75,1.01,AU,broken clouds
81,Dudinka,69.4058,86.1778,12.83,95,100,5.99,RU,overcast clouds
82,Tilichiki,60.4667,166.1,23.34,97,100,8.43,RU,snow
83,Kapaa,22.0752,-159.319,82.38,70,40,3.0,US,scattered clouds
84,Saint-Joseph,-21.3667,55.6167,74.46,77,18,9.42,RE,few clouds
85,Alamogordo,32.8995,-105.9603,65.01,30,1,9.22,US,clear sky
86,Thompson,55.7435,-97.8558,34.2,91,100,4.34,CA,overcast clouds
87,Talnakh,69.4865,88.3972,17.19,96,100,7.09,RU,light snow
88,Kruisfontein,-34.0033,24.7314,56.88,89,100,4.32,ZA,overcast clouds
89,Ukiah,39.1502,-123.2078,50.02,75,1,3.44,US,clear sky
90,Sao Miguel Do Araguaia,-13.275,-50.1628,72.81,94,100,7.29,BR,overcast clouds
91,Sabang,5.8933,95.3214,81.75,77,90,8.19,ID,overcast clouds
92,Havre,49.5833,0.3333,49.77,71,20,9.22,FR,few clouds
93,Andalan,5.9594,121.3903,84.87,72,13,9.78,PH,few clouds
94,Avarua,-21.2078,-159.775,77.05,61,19,10.36,CK,few clouds
95,Wajima,37.4,136.9,66.51,57,87,6.53,JP,overcast clouds
96,Manaus,-3.1019,-60.025,82.89,74,0,4.61,BR,clear sky
97,Ribeira Grande,38.5167,-28.7,69.4,85,43,24.18,PT,scattered clouds
98,Srednekolymsk,67.45,153.6833,4.15,96,100,6.46,RU,overcast clouds
99,Vao,-22.6667,167.4833,72.5,64,14,7.38,NC,few clouds
100,Severo-Kurilsk,50.6789,156.125,36.77,68,99,22.28,RU,overcast clouds
101,Saint Anthony,45.0205,-93.218,54.72,84,1,1.99,US,mist
102,Kandrian,-6.2167,149.55,85.41,71,90,9.35,PG,light rain
103,Wuhan,30.5833,114.2667,49.35,28,1,2.3,CN,clear sky
104,Sioux Lookout,50.1001,-91.917,42.08,81,98,4.5,CA,overcast clouds
105,Aparecida Do Taboado,-20.0867,-51.0936,76.39,72,15,3.4,BR,few clouds
106,Mount Gambier,-37.8333,140.7667,61.61,49,85,8.32,AU,overcast clouds
107,Tasiilaq,65.6145,-37.6368,26.76,75,100,5.97,GL,overcast clouds
108,Marsa Matruh,31.3525,27.2453,69.01,69,4,4.65,EG,clear sky
109,Khandbari,27.3747,87.2039,66.49,65,72,1.01,NP,broken clouds
110,Pizarro,4.9533,-77.366,76.12,88,100,2.98,CO,light rain
111,Ambilobe,-13.2,49.05,76.14,72,6,2.73,MG,clear sky
112,Tual,-5.6667,132.75,84.79,73,36,7.31,ID,scattered clouds
113,Cockburn Town,21.4612,-71.1419,81.86,74,99,7.02,TC,overcast clouds
114,Longyearbyen,78.2186,15.6401,13.84,67,75,4.61,SJ,broken clouds
115,Pyu,18.4833,96.4333,81.77,76,13,7.0,MM,few clouds
116,Iqaluit,63.7506,-68.5145,8.33,84,1,18.01,CA,clear sky
117,Castro,-24.7911,-50.0119,58.82,96,88,6.89,BR,overcast clouds
118,Phan Thiet,10.9333,108.1,85.55,69,46,10.65,VN,scattered clouds
119,Geraldton,-28.7667,114.6,72.01,49,15,14.97,AU,few clouds
120,Goderich,43.7501,-81.7165,49.55,88,48,9.48,CA,scattered clouds
121,Georgetown,5.4112,100.3354,84.13,82,20,1.99,MY,few clouds
