City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Katsuura,JP,71.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
79,Butaritari,KI,82.06,few clouds,3.0707,172.7902,Isles Sunset Lodge
80,Hobart,AU,69.03,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
81,Dudinka,RU,12.83,overcast clouds,69.4058,86.1778,Hotel Viktoria
83,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Saint-Joseph,RE,74.46,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
85,Alamogordo,US,65.01,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
86,Thompson,CA,34.2,overcast clouds,55.7435,-97.8558,Burntwood Hotel
87,Talnakh,RU,17.19,light snow,69.4865,88.3972,Talnakh Hotel
88,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
89,Ukiah,US,50.02,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
90,Sao Miguel Do Araguaia,BR,72.81,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
91,Sabang,ID,81.75,overcast clouds,5.8933,95.3214,Hotel Citra
92,Havre,FR,49.77,few clouds,49.5833,0.3333,gite bois jourdain
94,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
95,Wajima,JP,66.51,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
96,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
97,Ribeira Grande,PT,69.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
99,Vao,NC,72.5,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
100,Severo-Kurilsk,RU,36.77,overcast clouds,50.6789,156.125,Kak Doma
101,Saint Anthony,US,54.72,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
102,Kandrian,PG,85.41,light rain,-6.2167,149.55,Kandrian Station
103,Wuhan,CN,49.35,clear sky,30.5833,114.2667,Novotel Wuhan Xinhua Hotel
104,Sioux Lookout,CA,42.08,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
105,Aparecida Do Taboado,BR,76.39,few clouds,-20.0867,-51.0936,Aritana
106,Mount Gambier,AU,61.61,overcast clouds,-37.8333,140.7667,The Commodore
107,Tasiilaq,GL,26.76,overcast clouds,65.6145,-37.6368,The Red House
108,Marsa Matruh,EG,69.01,clear sky,31.3525,27.2453,Beau Site
109,Khandbari,NP,66.49,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
110,Pizarro,CO,76.12,light rain,4.9533,-77.366,Hotel Limonar
111,Ambilobe,MG,76.14,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
112,Tual,ID,84.79,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
113,Cockburn Town,TC,81.86,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
114,Longyearbyen,SJ,13.84,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
115,Pyu,MM,81.77,few clouds,18.4833,96.4333,Mr Bo Bo
116,Iqaluit,CA,8.33,clear sky,63.7506,-68.5145,Frobisher Inn
117,Castro,BR,58.82,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
118,Phan Thiet,VN,85.55,scattered clouds,10.9333,108.1,Hotel Saigon-PT
119,Geraldton,AU,72.01,few clouds,-28.7667,114.6,Broadwater Mariner Resort
120,Goderich,CA,49.55,scattered clouds,43.7501,-81.7165,Harmony Inn
121,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
122,Beringovskiy,RU,15.67,scattered clouds,63.05,179.3167,Beringgorski
123,Saint George,US,68.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
124,Sakakah,SA,59.45,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
126,Santa Maria,BR,58.91,few clouds,-29.6842,-53.8069,Hotel Morotin
127,Angoche,MZ,71.76,clear sky,-16.2325,39.9086,Guest House HESADA
129,Daru,PG,85.24,broken clouds,-9.0763,143.2092,Daru Lodge
130,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
131,Talas,TR,29.07,clear sky,38.6908,35.5538,Fimaj Residence
132,Raudeberg,NO,38.86,overcast clouds,61.9875,5.1352,Nordre Silda.
133,Tuatapere,NZ,67.48,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
134,Hamilton,US,51.44,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
135,Mar Del Plata,AR,60.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
136,Half Moon Bay,US,55.92,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
137,Hecun,CN,41.22,clear sky,36.5333,114.1111,Yijia Hotel
138,French Harbor,HN,77.0,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
140,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
141,Awbari,LY,67.87,overcast clouds,26.5921,12.7805,فندق أوباري
142,Ibotirama,BR,71.6,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
143,Ponta Do Sol,PT,66.83,few clouds,32.6667,-17.1,Hotel do Campo
144,Dunedin,NZ,64.8,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
145,Lebu,CL,52.59,broken clouds,-37.6167,-73.65,Hostal Las Lilas
146,Qaanaaq,GL,2.91,broken clouds,77.484,-69.3632,Qaanaaq Hotel
147,Riyadh,SA,60.94,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
148,Russell,US,49.23,clear sky,32.3502,-85.1999,Macs
150,Lagoa,PT,68.23,clear sky,39.05,-27.9833,Casa Das Faias
151,Blackfoot,US,37.35,few clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
152,Hobyo,SO,78.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
154,Sao Filipe,CV,78.01,overcast clouds,14.8961,-24.4956,Hotel Xaguate
155,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
156,Tuktoyaktuk,CA,10.98,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
157,Nyagan,RU,34.03,overcast clouds,62.1406,65.3936,Rainbow Hotel
159,Fortuna,US,45.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
160,Kavieng,PG,85.12,light rain,-2.5744,150.7967,Nusa Island Retreat
161,Coos Bay,US,48.92,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
162,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
163,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti Beach Resort
164,Waddan,LY,68.31,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
165,Bengkulu,ID,82.06,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
166,Arlit,NE,76.64,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
167,Port Alfred,ZA,64.42,light rain,-33.5906,26.891,The Halyards Hotel
168,Coyutla,MX,69.44,overcast clouds,20.25,-97.65,Hotel Retorno
169,Ormara,PK,78.94,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
170,San Ignacio,BZ,68.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
172,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
173,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
174,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
175,Shimoda,JP,69.91,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
176,Buala,SB,86.16,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
177,Ardahan,TR,35.33,scattered clouds,41.1087,42.7022,Kafkas Ari Hotel
178,Berlevag,NO,29.8,overcast clouds,70.8578,29.0864,Kvitbrakka
179,Margate,GB,44.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
180,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
181,Coihaique,CL,44.55,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
182,Bahia Honda,CU,70.48,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
183,Rio Grande,BR,52.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
184,Lages,BR,58.3,overcast clouds,-27.8161,-50.3261,"Le CanarD Lages - Hotel em Lages, Excelente Localização, Lazer ou Trabalho"
186,Puerto Madryn,AR,61.57,broken clouds,-42.7692,-65.0385,Hotel Tolosa
188,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
189,Bure,ET,54.9,broken clouds,10.7,37.0667,Holiday
190,Griffith,US,57.88,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
191,Kochevo,RU,31.95,broken clouds,59.5994,54.3125,Hotel/Гостиница
192,Ocampo,MX,50.02,scattered clouds,21.65,-101.5,Casa de ratas
193,Nelson Bay,AU,78.76,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
194,Rassvet,RU,41.94,overcast clouds,46.8333,40.75,Gostinitsa
195,Mana,GF,78.55,overcast clouds,5.6592,-53.7767,LE SAMANA
196,Narsaq,GL,30.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
198,Capitao Poco,BR,74.07,scattered clouds,-1.7464,-47.0594,Hotel New Tokyo
199,Kenai,US,31.14,light snow,60.5544,-151.2583,Aspen Extended Stay Suites
200,Dingle,PH,86.22,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Sibiti,CG,69.76,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
202,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
203,El Alto,PE,64.0,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
204,Lorengau,PG,83.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Arraial Do Cabo,BR,70.18,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
